trader_id,pnl,risk_tol
277,9590.82,0.33
278,7396.70,0.42
279,8032.00,0.71
280,7781.96,0.88
281,2607.88,0.23
282,1818.81,0.58
283,8269.50,0.19
284,1149.40,0.82
285,4238.02,0.45
286,1754.21,0.34
287,4242.39,0.42
288,9584.59,0.99
289,2946.59,0.15
290,4566.62,0.92
291,1647.42,0.68
292,5001.80,0.73
293,6228.79,0.50
294,8635.58,0.63
295,9008.90,0.71
296,8136.72,0.98
297,2301.99,0.80
298,6634.20,0.43
299,2563.96,0.37
300,8144.52,0.87
301,9967.13,0.15
302,4009.25,0.13
303,2653.44,0.92
304,6932.24,0.71
305,6288.35,0.88
306,6379.53,0.38
307,1570.89,0.84
308,9224.28,0.13
309,9617.80,0.17
310,5253.01,0.22
311,3059.51,0.66
312,3417.96,0.95
313,5461.33,0.66
314,2832.05,0.54
315,8512.22,0.72
316,4697.18,0.85
317,6149.11,0.22
318,1912.17,0.41
319,2682.25,0.86
320,3969.51,0.82
321,3093.98,0.18
322,9240.87,0.75
323,8197.47,0.37
324,6928.71,0.40
325,2453.03,0.70
326,7986.84,0.44
327,1212.86,0.60
328,5992.97,0.18
329,2438.10,0.78
330,3362.78,0.90
331,4839.52,0.75
332,7400.15,0.18
333,1276.68,0.11
334,1049.58,0.33
335,7821.97,0.61
336,7785.67,0.71
337,8555.37,0.29
338,5338.73,0.27
339,6157.28,0.91
340,1135.77,0.10
341,5696.27,0.66
342,1695.81,0.13
343,4454.20,0.89
344,2749.11,0.88
345,4277.35,0.16
346,6723.44,0.32
347,5105.24,0.86
348,9413.36,0.83
349,9799.99,0.35
350,6238.22,0.88
351,3927.35,0.42
352,9767.69,0.37
353,1369.11,0.81
354,2712.46,0.48
355,5098.14,0.54
356,7307.24,0.83
357,2299.42,0.43
358,6837.32,0.13
359,5596.84,0.28
360,3053.66,0.61
361,9822.54,0.48
362,4891.35,0.31
363,8185.86,0.81
364,5384.91,0.37
365,5234.75,0.28
366,4917.04,0.29
367,3152.38,0.87
368,1667.59,0.83
369,9541.57,0.57
370,5044.72,0.38
371,9699.40,0.48
372,6399.45,0.71
373,3453.51,0.93
374,4266.53,0.73
375,1162.13,0.63
376,7191.66,0.53
377,1223.39,0.29
378,1458.50,0.22
379,5082.09,0.36
380,5821.52,0.95
381,5285.26,0.97
382,9844.66,0.75
383,1467.80,0.26
384,5880.15,0.94
385,5728.34,0.34
386,5978.09,0.87
387,4820.45,0.72
388,7352.14,0.43
389,6580.67,0.45
390,4172.43,0.20
391,5743.86,0.29
392,8038.86,0.24
393,3428.26,0.65
394,8547.93,0.22
395,5676.07,0.65
396,5695.77,0.19
397,1016.04,0.77
398,6256.04,0.68
399,7476.40,0.10
400,4968.93,0.85
401,9451.12,0.36
402,1978.33,0.37
403,6664.58,0.91
404,3752.99,0.23
405,1353.58,0.14
406,8268.12,0.48
407,6644.24,0.41
408,7535.68,0.80
409,1744.68,0.84
410,7236.64,0.51
411,9460.26,0.35
412,3107.05,0.70
413,9023.36,0.56
414,4691.63,0.66
415,8022.48,0.23
416,7629.01,0.77
417,4435.04,0.42
418,1784.89,0.56
419,4071.09,0.34
420,3298.62,0.13
421,3451.16,0.47
422,4980.87,0.64
423,1818.00,0.70
424,5195.92,0.97
425,8160.81,0.46
426,3905.14,0.56
427,2479.85,0.37
428,7595.64,0.54
429,2736.73,0.57
430,3563.65,0.65
431,3362.25,0.74
432,2178.17,0.30
433,7995.66,0.69
434,9610.32,0.31
435,2161.65,0.76
436,9150.90,0.25
437,8057.13,0.71
438,1137.11,0.62
439,6323.30,0.20
440,4422.20,0.37
441,8693.87,0.92
442,5490.14,0.53
443,3330.78,0.42
444,1648.57,0.46
445,8665.88,0.28
446,8472.27,0.50
447,9487.85,0.85
448,1569.74,0.41
449,5609.98,0.28
450,1322.69,0.68
451,2383.10,0.47
452,2795.04,0.65
453,9203.31,0.46
454,5330.77,0.57
455,2067.41,1.00
456,5827.74,0.26
457,6359.99,0.39
458,6733.39,0.37
459,3321.55,0.89
460,7212.43,0.70
461,3399.12,0.90
462,5167.47,0.92
463,9529.05,0.76
464,1044.59,0.52
465,2089.37,0.23
466,3999.20,0.75
467,1167.63,0.12
468,5621.08,0.82
469,3423.73,0.22
470,8526.17,0.88
471,7655.81,0.63
472,3648.42,0.19
473,3280.14,0.79
474,2049.41,0.47
475,3252.60,0.66
476,5128.75,0.41
477,3232.16,0.86
478,2341.75,0.27
479,9031.41,0.58
480,2427.94,0.85
481,5995.25,0.55
482,7319.24,0.44
483,2363.92,0.94
484,8412.93,0.81
485,2168.17,0.34
486,3978.18,0.90
487,4426.74,0.77
488,9540.57,0.64
489,2279.65,0.27
490,7981.87,0.68
491,8676.98,0.13
492,3622.67,0.82
493,3725.89,0.45
494,8924.90,0.27
495,2321.68,0.12
496,5696.20,0.46
497,5947.43,0.78
498,1409.14,0.38
499,3921.59,0.86
500,5242.17,0.95
501,7622.77,0.67
502,6710.67,0.65
503,9681.11,0.67
504,7635.87,0.68
505,4294.60,0.88
506,9918.10,0.73
507,6038.38,0.19
508,8540.56,0.52
509,9141.16,0.87
510,3676.81,0.86
511,4630.02,0.60
512,9891.96,0.96
513,5721.25,0.73
514,8383.81,0.77
515,3240.89,0.41
516,6746.26,0.98
517,7798.91,0.42
518,2792.22,0.63
519,9772.27,0.29
520,4009.05,0.81
521,4870.68,0.59
522,1190.97,0.74
523,4758.92,0.65
524,6644.99,0.91
525,9275.92,0.52
526,3731.89,0.29
527,4862.84,0.75
528,4514.19,0.68
529,5743.06,0.93
530,1808.89,0.65
531,6967.85,0.79
532,9561.43,0.77
533,7693.82,0.99
534,1573.47,0.82
535,4144.14,0.40
536,2128.18,0.84
537,5223.25,0.70
538,8150.77,0.13
539,4865.73,0.58
540,5021.09,0.45
541,4951.03,0.29
542,7415.18,0.21
543,8748.60,0.49
544,3699.10,0.31
545,2986.84,0.25
546,7402.24,0.92
547,1616.80,0.56
548,1575.34,0.81
549,4517.90,0.73
550,1243.45,0.25
551,7261.33,0.56
552,5846.69,0.25
553,1626.85,0.57
554,5411.56,0.93
555,9082.93,0.35
556,4572.94,0.12
557,8566.15,0.40
558,2873.96,0.41
559,9056.51,0.72
560,6677.14,0.86
561,4259.92,0.48
562,8337.62,0.11
563,3287.18,0.72
564,5404.17,0.22
565,2348.08,0.89
566,8142.87,0.34
567,5675.16,0.99
568,9562.91,0.25
569,7463.29,0.13
570,8876.45,0.54
571,6305.20,0.80
572,5250.41,0.22
573,8111.01,0.61
574,4726.99,0.65
575,4465.32,0.69
576,3444.49,0.79
577,9085.42,0.13
578,8179.50,0.75
579,9220.90,0.90
580,4514.17,0.99
581,6068.04,0.78
582,6190.82,0.18
583,5294.55,0.16
584,2323.35,0.73
585,8852.84,0.31
586,7567.95,0.84
587,7584.13,0.80
588,9680.14,0.70
589,3734.54,0.69
590,1791.31,0.86
591,6891.64,0.88
592,6166.16,0.82
593,4503.92,0.69
594,3980.04,0.53
595,8075.67,0.27
596,3238.39,0.42
597,8480.90,0.67
598,5032.00,0.85
599,4748.02,0.59
600,3111.83,0.26
601,5525.34,0.41
602,8821.31,0.99
603,3126.62,0.74
604,3355.71,0.87
605,4083.83,0.17
606,3805.18,0.17
607,6616.71,1.00
608,1450.64,0.64
609,3730.56,0.48
610,8748.30,0.88
611,4012.80,0.70
612,2140.85,0.11
613,3587.92,0.93
614,4635.02,0.14
615,7130.06,0.65
616,2486.74,0.16
617,4605.90,0.12
618,2759.53,0.28
619,4285.19,0.71
620,9415.64,0.39
621,4536.18,0.11
622,7903.07,0.88
623,3943.92,0.80
624,5728.63,0.34
625,1883.04,0.17
626,8483.96,0.21
627,8411.84,0.80
628,6169.46,0.17
629,9641.79,0.17
630,8557.09,0.78
631,9414.38,0.76
632,5692.35,0.78
633,6504.68,0.32
634,4950.65,0.11
635,6805.82,0.76
636,9845.76,0.26
637,5460.99,0.69
638,6889.26,0.66
639,1863.91,0.18
640,5010.72,0.91
641,3604.04,0.55
642,3576.68,0.55
643,3874.28,0.62
644,7005.93,0.97
645,9133.30,0.66
646,6208.60,0.69
647,7951.04,0.98
648,5932.69,0.27
649,2489.45,0.72
650,1546.96,0.31
651,6664.45,0.29
652,9176.84,0.84
653,4095.69,0.61
654,1610.81,0.91
655,9990.78,0.41
656,8408.27,0.48
657,7795.40,0.43
658,1031.36,0.70
659,7881.74,1.00
660,8660.66,0.45
661,5324.95,0.77
662,6533.69,0.91
663,6367.22,0.40
664,4580.82,0.25
665,9366.37,0.60
666,3262.29,0.82
667,5530.93,0.67
668,5542.22,0.23
669,8273.39,0.97
670,3935.50,0.53
671,9673.82,0.92
672,5104.87,0.70
673,4366.49,0.12
674,1226.89,0.75
675,3820.21,0.48
676,9388.81,0.74
677,8081.72,0.93
678,3416.85,0.20
679,1873.54,0.27
680,6516.77,0.82
681,3815.41,0.93
682,2974.44,0.90
683,3615.31,0.57
684,4188.70,0.71
685,8802.05,0.78
686,8082.31,0.93
687,1198.08,0.47
688,5580.26,0.28
689,7972.53,0.53
690,8148.76,0.92
691,9613.35,0.39
692,5237.28,0.45
693,4047.19,0.39
694,9568.89,0.55
695,9653.98,0.41
696,4263.54,0.78
697,6886.81,0.26
698,2913.68,0.89
699,9039.81,0.21
700,1189.75,0.18
701,1809.32,0.78
702,6482.34,0.60
703,2617.84,0.25
704,6010.03,0.54
705,6147.57,0.92
706,5209.77,0.41
707,1243.23,0.15
708,3953.53,0.31
709,3604.16,0.78
710,3140.91,0.94
711,1094.90,0.88
712,1321.35,0.39
713,8729.90,0.78
714,7295.11,0.36
715,2372.80,0.24
716,6477.30,0.67
717,9410.20,0.40
718,7819.42,0.96
719,2217.39,0.56
720,8838.36,0.31
721,9330.59,0.27
722,4775.93,0.41
723,4896.71,0.24
724,6696.02,0.33
725,3659.39,0.92
726,1854.68,0.88
727,3665.77,0.62
728,5674.49,0.75
729,4877.88,0.96
730,6766.39,0.18
731,4346.41,0.76
732,7732.31,0.55
733,1837.78,0.53
734,4395.42,0.84
735,8071.55,0.19
736,9296.93,0.66
737,8370.90,0.49
738,3598.53,0.44
739,3052.20,0.66
740,1370.55,0.74
741,8390.03,0.45
742,8749.94,0.67
743,1819.20,0.63
744,8851.87,0.18
745,7851.29,0.25
746,4615.07,0.43
747,3120.26,0.51
748,7960.89,0.32
749,6840.62,0.67
750,8459.34,0.56
751,1824.38,0.17
752,6267.58,0.14
753,9493.06,0.60
754,4632.77,0.90
755,9682.78,0.33
756,8920.80,0.75
757,5842.54,0.44
758,3001.96,0.52
759,8719.57,0.98
760,7877.07,0.99
761,4164.80,0.11
762,7020.01,0.51
763,9209.85,0.45
764,4326.73,0.17
765,5579.83,0.97
766,3164.75,0.48
767,1003.98,0.76
768,1739.66,0.62
769,3431.78,0.62
770,4744.37,0.87
771,3261.99,0.45
772,9746.83,0.38
773,1201.66,0.66
774,1443.18,0.30
775,9837.23,0.21
776,4853.85,0.10
777,9828.34,0.52
778,7657.25,0.57
779,8035.97,0.36
780,8079.57,0.14
781,2865.16,0.20
782,9859.73,0.59
783,2695.62,0.53
784,4319.19,0.50
785,8045.03,0.81
786,8732.48,0.35
787,2615.63,0.36
788,4813.54,0.66
789,8318.94,0.88
790,7498.42,0.65
791,3315.97,0.97
792,2062.05,0.56
793,3245.88,0.54
794,3690.27,0.32
795,9371.79,0.34
796,6731.74,0.85
797,5869.13,0.56
798,1811.31,0.96
799,4634.94,0.50
800,6805.05,0.63
801,9830.25,0.78
802,8192.55,0.77
803,3848.84,0.96
804,4686.46,0.19
805,7822.87,0.50
806,6914.81,0.24
807,7271.83,0.14
808,2963.43,0.88
809,9220.18,0.91
810,5538.55,0.78
811,8255.16,0.87
812,3853.42,0.78
813,7240.55,0.61
814,4841.97,0.93
815,2158.11,0.30
816,2021.80,0.62
817,3182.19,0.14
818,6661.71,0.42
819,1918.92,0.84
820,8316.20,0.44
821,7072.60,0.21
822,8505.18,0.15
823,4946.12,0.93
824,8606.28,0.61
825,7467.29,0.30
826,2903.50,0.51
827,4786.11,0.51
828,1164.92,0.57
829,7319.47,0.63
830,6639.43,1.00
831,3920.57,0.57
832,5819.03,0.80
833,6669.18,0.24
834,8307.32,0.31
835,1993.94,0.53
836,6389.02,0.68
837,6747.18,0.96
838,2699.96,0.29
839,1910.97,0.28
840,6349.77,0.13
841,8646.42,0.36
842,7989.89,0.46
843,4619.98,0.17
844,3737.76,0.53
845,6198.61,0.78
846,4381.08,0.70
847,7097.99,0.51
848,5209.02,0.62
849,3194.56,0.28
850,4732.06,0.58
851,8632.69,0.62
852,9126.68,0.32
853,1607.71,0.60
854,8641.41,0.18
855,2809.39,0.48
856,9918.32,0.53
857,6974.30,0.98
858,5348.01,0.16
859,2907.54,0.64
860,6538.21,0.58
861,6242.01,0.76
862,9894.99,0.32
863,2793.09,0.22
864,6081.80,0.11
865,9846.74,0.77
866,7876.71,0.65
867,4385.34,0.51
868,1779.47,0.99
869,8212.08,0.69
870,6505.93,0.21
871,6609.33,0.46
872,4128.39,0.96
873,8008.97,0.20
874,1395.87,0.97
875,4006.53,0.32
876,2651.01,0.20
877,4728.25,0.60
878,9553.19,0.45
879,1221.77,0.39
880,9641.55,0.40
881,3590.35,0.76
882,9297.12,0.67
883,9721.75,0.86
884,6117.48,0.42
885,5370.18,0.16
886,5317.42,0.37
887,3796.21,0.48
888,6130.38,0.32
889,7707.93,0.22
890,8649.73,0.55
891,4603.62,0.88
892,1958.07,0.93
893,1303.27,0.52
894,4560.89,0.29
895,4377.73,0.99
896,7694.09,0.47
897,6570.70,0.15
898,9647.69,0.88
899,9226.50,0.39
900,4335.43,0.81
901,3133.38,0.96
902,4219.34,0.60
903,4959.21,0.18
904,2175.46,0.44
905,4449.55,0.73
906,9169.59,0.87
907,5430.47,0.47
908,3710.02,0.49
909,5004.54,0.82
910,6822.79,0.33
911,3793.40,0.30
912,6462.72,0.74
913,3372.45,0.71
914,1190.15,0.99
915,9037.58,0.92
916,2866.66,0.69
917,5708.65,0.60
918,4703.38,0.90
919,6982.89,0.94
920,3841.08,0.68
921,8510.62,0.79
922,7363.32,0.19
923,2778.18,0.71
924,5084.82,0.84
925,3830.73,0.39
926,2584.35,0.96
927,5910.29,0.91
928,7667.78,0.47
929,5185.96,0.53
930,6606.72,0.95
931,9741.69,0.78
932,5013.49,0.62
933,9024.05,0.31
934,7850.62,0.37
935,4238.46,0.68
936,8634.24,0.19
937,5158.84,0.32
938,9408.49,0.40
939,9551.14,0.25
940,3555.04,0.94
941,7332.25,0.59
942,8698.13,0.32
943,1842.12,0.84
944,7766.31,0.34
945,5708.49,0.25
946,3545.49,0.27
947,2366.05,0.84
948,8432.78,0.54
949,2712.45,0.48
950,6757.47,0.44
951,3138.77,0.62
952,6119.55,0.55
953,2872.02,0.88
954,6208.41,0.61
955,4985.59,0.82
956,8587.37,0.70
957,4838.28,0.40
958,1578.39,0.57
959,9551.17,0.58
960,9185.98,0.90
961,3716.10,1.00
962,3140.69,0.90
963,8838.60,0.42
964,2675.16,0.96
965,2118.52,0.61
966,8519.86,0.79
967,8139.17,0.83
968,3117.64,0.73
969,9526.35,0.34
970,1004.73,0.61
971,4812.61,0.37
972,9394.75,0.72
973,3421.58,0.60
974,4895.36,0.19
975,5019.31,0.21
976,6249.21,0.70
977,1158.57,0.22
978,2683.82,0.86
979,6306.55,0.85
980,9222.91,0.39
981,2189.71,0.76
982,9710.03,0.55
983,2372.86,0.89
984,8720.84,0.82
985,2932.49,0.86
986,5199.28,0.88
987,2130.43,0.78
988,4631.25,0.26
989,4159.44,0.29
990,1852.20,0.85
991,8680.48,0.26
992,2026.70,0.40
993,3693.63,0.35
994,1994.53,0.28
995,5849.15,0.91
996,3433.42,0.49
997,5088.02,0.90
998,6975.64,0.31
999,8412.77,0.57
1000,8970.82,0.78
1001,6418.66,0.89
1002,6513.64,0.24
1003,2896.18,0.82
1004,3583.84,0.95
1005,2091.18,0.28
1006,3105.23,0.76
1007,9994.32,0.50
1008,6503.43,0.20
1009,4444.95,0.35
1010,6018.38,0.61
1011,9884.00,0.95
1012,9822.92,0.29
1013,9292.96,0.80
1014,2702.04,0.97
1015,5517.38,0.39
1016,7258.13,1.00
1017,1520.72,0.28
1018,1527.94,0.49
1019,8209.34,0.75
1020,5711.09,0.98
1021,9788.21,0.70
1022,7630.67,0.18
1023,1510.82,0.72
1024,5488.18,0.35
1025,9264.81,0.66
1026,5128.09,0.72
1027,2660.01,0.85
1028,6432.79,0.93
1029,7767.59,0.92
1030,8878.73,0.30
1031,8357.18,0.19
1032,1899.42,1.00
1033,9236.92,0.87
1034,2125.99,0.75
1035,7925.82,0.79
1036,3392.31,0.26
1037,8965.72,0.28
1038,7002.50,0.53
1039,4289.30,0.93
1040,4618.35,0.39
1041,9267.72,0.68
1042,4803.61,0.35
1043,2842.80,0.50
1044,2591.71,0.65
1045,7027.12,0.61
1046,1938.39,0.36
1047,8417.22,0.23
1048,9592.66,0.69
1049,8327.51,0.99
1050,2816.50,0.90
1051,9307.29,0.20
1052,6266.17,0.29
1053,5696.55,0.33
1054,4085.23,0.78
1055,1573.71,0.41
1056,8788.89,0.35
1057,4169.36,0.23
1058,9611.99,0.69
1059,2284.20,0.33
1060,7523.99,0.64
1061,1766.23,0.31
1062,6557.53,0.97
1063,1917.89,0.94
1064,1915.08,0.92
1065,3405.71,0.99
1066,8654.27,0.64
1067,8536.59,0.65
1068,3193.15,0.75
1069,8540.15,0.75
1070,2335.39,0.29
1071,5757.94,0.73
1072,5793.55,0.96
1073,6748.58,0.21
1074,7097.70,0.73
1075,8170.01,0.66
1076,1050.25,0.10
1077,8761.23,0.24
1078,6344.85,0.98
1079,2955.40,0.42
1080,3555.14,0.74
1081,5746.39,0.94
1082,1048.16,0.21
1083,6824.52,0.90
1084,4541.84,0.56
1085,8412.39,0.28
1086,6117.32,0.59
1087,8173.83,0.20
1088,9516.58,0.23
1089,2547.83,0.52
1090,6848.79,0.73
1091,9305.28,0.83
1092,3636.89,0.84
1093,8705.34,0.79
1094,4246.35,0.11
1095,3238.73,0.71
1096,6574.45,0.97
1097,1173.84,0.21
1098,7449.91,0.65
1099,4109.58,0.18
1100,9248.79,0.33
1101,6966.15,0.57
1102,5279.30,0.11
1103,7965.09,0.41
1104,9498.37,0.75
1105,4646.81,0.29
1106,8007.37,0.58
1107,6288.98,0.66
1108,4744.52,0.58
1109,4422.77,0.55
1110,8690.62,0.25
1111,7507.79,0.83
1112,2910.60,0.98
1113,4120.66,0.87
1114,9726.16,0.94
1115,7021.84,0.16
1116,3369.28,0.29
1117,3028.97,0.77
1118,3345.34,0.82
1119,9653.57,0.83
1120,4813.77,0.35
1121,6972.61,0.41
1122,6350.50,0.24
1123,1230.12,0.96
1124,9391.23,0.97
1125,7003.00,0.75
1126,3100.88,0.91
1127,8040.29,0.82
1128,5802.16,0.62
1129,7852.13,0.14
1130,1391.71,0.97
1131,9022.61,0.15
1132,3109.52,0.37
1133,3774.31,0.66
1134,9970.16,0.89
1135,7732.23,0.62
1136,5976.92,0.53
1137,5456.46,0.59
1138,1986.26,0.82
1139,3738.17,0.98
1140,4990.38,0.45
1141,1547.86,0.16
1142,5049.75,0.28
1143,3571.31,1.00
1144,7463.55,0.86
1145,6015.94,0.75
1146,4346.24,0.36
1147,7600.82,0.61
1148,2337.06,0.59
1149,1292.88,0.29
1150,6775.16,0.23
1151,2218.43,0.20
1152,6598.21,0.84
1153,7516.14,0.10
1154,7872.56,0.15
1155,2445.78,0.99
1156,9414.48,0.15
1157,5268.33,0.25
1158,2714.80,0.92
1159,5397.04,0.72
1160,2118.40,0.39
1161,9174.19,0.71
1162,1054.36,0.99
1163,2635.54,0.28
1164,2948.68,0.54
1165,6617.73,0.66
1166,3070.77,0.94
1167,4822.03,0.65
1168,6133.67,0.11
1169,6658.94,0.86
1170,9785.50,0.27
1171,3867.05,0.58
1172,1047.25,0.89
1173,9130.40,0.70
1174,9155.30,0.34
1175,2291.38,0.13
1176,7455.56,1.00
1177,1964.19,0.72
1178,3851.72,0.83
1179,5792.11,0.20
1180,6645.89,0.29
1181,7451.26,0.42
1182,3649.07,0.90
1183,6616.61,0.45
1184,6409.48,0.63
1185,7734.33,0.61
1186,5598.14,0.29
1187,5890.54,0.64
1188,1380.34,0.44
1189,1352.43,0.42
1190,1094.73,0.94
1191,2156.12,0.60
1192,9369.72,0.36
1193,1540.89,0.69
1194,1807.19,0.50
1195,9599.33,0.32
1196,6679.19,0.73
1197,5577.22,0.83
1198,3953.38,0.71
1199,2165.69,0.32
1200,3715.22,0.34
1201,5701.75,0.27
1202,9320.17,0.67
1203,3810.19,0.97
1204,7566.11,0.80
1205,7648.41,0.61
1206,4053.32,0.16
1207,5355.55,0.87
1208,3908.96,0.53
1209,3940.85,0.12
1210,3134.29,0.45
1211,5317.63,0.78
1212,9897.37,0.68
1213,6290.25,0.89
1214,5541.12,0.60
1215,1968.58,0.82
1216,6581.41,0.97
1217,8661.66,0.54
1218,4536.08,0.23
1219,4257.61,0.88
1220,2144.11,0.36
1221,5889.51,0.83
1222,9647.43,0.78
1223,5755.79,0.93
1224,1594.88,0.34
1225,2520.23,0.27
1226,5281.78,0.80
1227,9303.53,0.98
1228,3373.30,0.46
1229,3376.35,0.62
1230,1768.83,0.32
1231,4309.08,0.74
1232,6645.90,0.99
1233,4995.24,0.93
1234,5740.50,0.83
1235,6093.91,0.28
1236,7349.02,0.25
1237,2284.79,0.62
1238,7773.20,0.32
1239,5014.31,0.67
1240,3842.18,0.16
1241,3102.57,0.68
1242,7207.50,0.45
1243,6560.73,0.61
1244,9835.19,0.49
1245,9052.67,0.85
1246,6877.97,0.78
1247,2609.30,0.42
